index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
water,-0.40167844902395816,0.12137747950156955,69.06235,4.4816628,4.228833,5.491399299999999
coffee,0.2735619105115723,-0.15116170841204346,116.79202,-359.2615,1.1807499,5.506674299999999
tea,-0.17717808247382474,-0.30124786874643,321.7193,-218.92702999999997,2.1627789,6.525025
juice,-0.6244365059724711,0.10507538269293704,207.18643,153.09474,4.931282,5.8980464999999995
milk,-0.2349028909899927,-0.24683423109253666,301.9387,-146.10777,2.8794055,6.5407660000000005
soda,0.16847669999534415,0.2320054881264791,25.53999,-292.58218,1.8417988,5.1623660000000005
energy drink,-0.16331712688924374,0.3793384308436471,-27.328546999999997,-118.5173,3.67475,5.237811
milkshake,0.07591316095924798,-0.20618460749731976,179.41135,-304.8508,1.639546,5.811965
smoothie,-0.7367072898690893,0.1141528320436208,180.91658,238.92142,5.245443,6.163611
alcohol,-0.14311828008745572,0.4686653246491241,-88.12007,-169.39659,3.242674,5.148507599999999
liquor,0.9511070373103712,0.22283341770988133,-452.88727,253.58417999999998,-2.6975347999999997,4.4577727
beer,0.8498262399787372,0.1597877994018583,-529.8992,204.83415,-2.9050224,3.9892849999999997
wine,-0.5321174777200413,-0.113243465830059,267.25925,52.06296500000001,4.3679814000000015,6.2423882000000015
cider,0.0759306526073075,-0.3196663508847872,272.87137,-343.44174,1.506614,6.3152113
vodka,-0.2898117168730937,0.09139168542431138,123.27788999999999,-45.985009999999996,3.5668364,5.957552
rum,0.6202148591173691,-0.29204721606935696,-442.5448,67.78496,-2.0066283,4.1136074
whiskey,0.8644876127104509,-0.0654636979032608,-457.22964,150.10943999999995,-2.5359652,3.9624726999999997
champagne,-0.5762503532912285,-0.1987786939576341,300.0832200000001,131.46200000000002,4.7934660000000004,6.4404525999999995
