index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
football,0.3271358803007561,0.0036220800694424338,219.7377,258.17123,-1.9218351999999999,13.765107
basketball,0.3397834503628049,0.0002695342595364442,216.0177,205.40833,-2.0287662,13.541492000000002
cricket,0.06753417358102343,0.04583548812294129,-344.89178,58.293987,-5.464176999999999,10.780672000000001
hockey,0.25431971702149425,0.0976938578071124,146.0151,314.29245,-2.7645294999999996,13.407403
tennis,-0.4508322462952431,0.13186804925735104,164.18823,-255.67222999999998,-1.1537656,4.8591094
volleyball,-0.13620586334334644,-0.08163156623634092,108.419044,-482.9598,-1.6042367,3.5351677
table tennis,-0.275468747495181,0.02347212111943694,80.18235,-354.15695,-1.1604352,4.041691
martial arts,-0.3238300883339174,-0.17300859829095505,248.57287999999997,-382.52414,-2.1189348999999997,4.2873764
baseball,0.3066057442013844,0.004391075457415342,173.13074,272.46558,-2.5190156000000004,13.739445000000002
american football,0.5262473679508507,0.0009522274378293419,257.83215,134.5747,-1.4948048999999999,13.053106
rugby,0.029779500048406918,0.04206057527500999,-306.72797,25.873739999999998,-5.527757599999999,10.37416
golf,-0.14213198331805604,0.1138446044732674,-21.447151,-329.83102,-0.6731216999999999,4.100726600000001
athletics,0.07434536401945135,-0.1306768896058909,-156.51187,153.92401,-5.539457,8.987341
badminton,-0.15017576069671545,-0.06280965254344767,78.42907,-524.1667,-1.7854453000000001,3.3041918
boxing,-0.01672330220103534,-0.12005338947894675,-137.59346000000002,112.43767,-5.350810500000001,8.993294
Formula One,-0.19877610592555264,0.20155302974026532,8.108628999999999,-298.94232,-0.56568515,4.4541260000000005
MotoGP,-0.4590124074621028,0.025423280966030158,198.47503999999998,-294.0603,-1.4083104,5.1551165999999995
cycling,0.09254860347719042,0.00971003777399917,-310.4126,119.23283400000001,-6.012755,10.896564999999999
swimming,0.4235231450002319,0.006087898940216981,269.97516,214.58992,-1.8629375,13.080902
snooker,-0.3095034090826196,0.032408163399325465,114.06386599999999,-328.02426,-1.2540607,4.494234
shooting,0.10138287133933227,0.07695001305180389,-368.3789,114.79158999999999,-5.7347407,11.200637
gymnastics,-0.5128318907807182,-0.02467254158588819,233.12701,-333.34326,-1.8670402,4.859361
handball,-0.09856800199690904,-0.04759829889079712,57.656116000000004,-479.017,-2.0348686999999996,3.0373832999999997
wrestling,0.4707593212400649,0.00805158759238149,300.2483,178.52844,-1.6707136999999999,13.321907999999999
skiing,-0.007108003430611493,0.11121168059029073,-287.5269,-21.215635,-6.0663195,10.282109
horse racing,-0.03514494432408366,-0.1816081959694511,-85.48874,139.14983,-5.5380709999999995,8.675174
horling,0.0793615692649391,-0.04446432162954783,-218.26572000000002,94.223946,-5.438,9.742481
pickleball,0.18479592474220294,-0.005587060105439221,-318.9548,181.47356000000002,-5.471661599999999,11.539272
water polo,0.025946450959372987,-0.012416966788582692,-269.37436,58.551109999999994,-5.7614846,10.088411
bowling,-0.1877563288234139,-0.05087782420836821,101.56206,-429.78192,-1.9766424999999999,3.7277088
