index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
football,-0.37333724640557786,-0.1877265230851858,136.7131,343.00597999999997,19.876848000000006,3.2118309
basketball,-0.09522706514975808,-0.2979488152975923,-193.29417,252.66945,15.732179,0.61162436
cricket,0.07179048547678019,0.4040668332552802,84.81036999999998,-196.70443999999998,17.183718,4.0002330000000015
hockey,-0.062378159243920775,-0.2433426795568237,-206.76218,173.7477,15.880539,1.0635113999999999
tennis,0.5444041572808505,-0.1173169460936094,41.414536,-637.0375,12.594128999999999,5.466546
volleyball,0.487647471811556,-0.2888867036128073,88.40409,-582.48334,12.568122,4.6995316
table tennis,0.4573860770999341,0.11251878147206934,-39.71997,-606.3836,12.431281,5.314311
martial arts,-0.07075354642128442,0.07964662089178644,19.47552,175.78297,19.523607000000002,4.433294999999998
baseball,-0.22796441014522,-0.12026911680493467,99.62147,256.2469,19.342873,3.6074693
american football,-0.17451568763265368,0.3011249074195864,-153.50052,-265.86328,18.933578,5.164853
rugby,-0.24354149232476624,-0.17020475307458155,138.55921999999998,216.95876,19.15466,3.1478338
golf,-0.21268634936506506,-0.08556103658664127,218.01022000000003,81.58251,18.135614,2.7056427000000003
athletics,0.07976740049716526,0.23272632819766664,-2.7661830000000003,-152.65929,16.527207999999998,3.3946123
badminton,0.12739899700572438,0.15018426655152536,18.789576999999998,-99.79955,16.681206,3.0259137000000003
boxing,-0.4008861507339691,0.2660008225493482,-198.11433,-222.30118,18.646732,4.9852724
Formula One,-0.3939015032738957,-0.09209687227820693,224.77039,192.63118,18.617511999999998,2.8724341
MotoGP,-0.20637913603223096,-0.06053266271267368,54.687874,227.35953999999998,19.715982,3.853529
cycling,0.08447985117416024,0.2570452797598877,55.532222999999995,-141.26338,17.089057999999998,3.413439
swimming,0.416546108946226,-0.05557150534759292,11.619402000000001,-590.477,12.657397,5.077674
snooker,-0.10824539885267644,0.10909026301819708,208.71616,26.985258,17.660147,2.9076345
shooting,-0.3759427112645519,-0.09065818278826668,213.89162000000002,148.31996,18.68117,2.641577
gymnastics,0.5788411473875765,-0.09197190676583997,-5.800603,-659.0297,12.746224,5.288762
handball,0.19355514823039527,-0.11913428902379093,-137.02077,1.1197537,15.778274,1.9522543999999997
wrestling,-0.3190717867545186,-0.13284745614395246,91.70586999999999,306.8498,19.688713,3.4754958
skiing,0.15139210167859507,-0.1127593822162641,-138.74536,43.06204,15.987623000000001,1.8191464
horse racing,-0.1181656070213716,0.3215035914000113,-127.08793,-230.19882,18.46675,5.040987
horling,0.08443110878043628,0.4815532189614973,62.72829,-249.66537000000002,16.778902,3.707086
pickleball,0.16255946408655486,0.09032791217646544,-18.955503,-65.87089499999999,16.2381,2.6345389999999997
water polo,-0.0686998931631435,-0.26066965610828624,-253.9472,190.12291000000002,15.658957000000001,0.9506720999999999
bowling,0.01149662432864988,-0.2782903381562718,-167.9222,213.09169,15.81541,1.2478095
